Model name: 1605995180.9348865reward-med-game-score-10k
Extra information: reward = reward*game_score
Timestamp: 2020-11-21 22:46:23.049156
Game Rounds Score Epsilon ClearedLines
767 21 10 0.9233000000000084 0
768 18 7 0.9232000000000085 0
769 19 8 0.9231000000000085 0
770 22 11 0.9230000000000085 0
771 18 7 0.9229000000000085 0
772 20 9 0.9228000000000085 0
773 21 10 0.9227000000000085 0
774 19 8 0.9226000000000085 0
775 21 10 0.9225000000000085 0
776 21 10 0.9224000000000085 0
777 17 6 0.9223000000000086 0
778 23 12 0.9222000000000086 0
779 18 7 0.9221000000000086 0
780 20 9 0.9220000000000086 0
781 21 10 0.9219000000000086 0
782 16 5 0.9218000000000086 0
783 23 12 0.9217000000000086 0
784 24 13 0.9216000000000086 0
785 14 3 0.9215000000000086 0
786 19 8 0.9214000000000087 0
787 19 8 0.9213000000000087 0
788 18 7 0.9212000000000087 0
789 20 9 0.9211000000000087 0
790 19 8 0.9210000000000087 0
791 21 10 0.9209000000000087 0
792 22 11 0.9208000000000087 0
793 23 12 0.9207000000000087 0
794 16 5 0.9206000000000087 0
795 17 6 0.9205000000000088 0
796 21 10 0.9204000000000088 0
797 20 9 0.9203000000000088 0
798 22 11 0.9202000000000088 0
799 18 7 0.9201000000000088 0
800 18 7 0.9200000000000088 0
801 26 15 0.9199000000000088 0
802 21 10 0.9198000000000088 0
803 15 4 0.9197000000000088 0
804 27 16 0.9196000000000089 0
